Service_Line,Passengers,Day_and_Time,Day_of_the_week
Line 1,2932,2023-03-26 13:00:00,Sunday
Line 2,616,2023-03-26 13:00:00,Sunday
Line A,15628,2023-03-26 13:00:00,Sunday
Line B,2948,2023-03-26 13:00:00,Sunday
Line H,64,2023-03-26 13:00:00,Sunday
Line J,571,2023-03-26 13:00:00,Sunday
Line K,974,2023-03-26 13:00:00,Sunday
Line L,351,2023-03-26 13:00:00,Sunday
Line M,319,2023-03-26 13:00:00,Sunday
Line O,354,2023-03-26 13:00:00,Sunday
Line P,675,2023-03-26 13:00:00,Sunday
Line T,1654,2023-03-26 13:00:00,Sunday
Line 1,5396,2023-03-27 13:00:00,Monday
Line 2,1123,2023-03-27 13:00:00,Monday
Line A,28499,2023-03-27 13:00:00,Monday
Line B,5294,2023-03-27 13:00:00,Monday
Line H,97,2023-03-27 13:00:00,Monday
Line J,686,2023-03-27 13:00:00,Monday
Line K,969,2023-03-27 13:00:00,Monday
Line M,303,2023-03-27 13:00:00,Monday
Line O,979,2023-03-27 13:00:00,Monday
Line P,816,2023-03-27 13:00:00,Monday
Line T,2620,2023-03-27 13:00:00,Monday
Line 1,5632,2023-03-28 13:00:00,Tuesday
Line 2,1084,2023-03-28 13:00:00,Tuesday
Line A,29187,2023-03-28 13:00:00,Tuesday
Line B,4606,2023-03-28 13:00:00,Tuesday
Line H,86,2023-03-28 13:00:00,Tuesday
Line J,606,2023-03-28 13:00:00,Tuesday
Line K,1092,2023-03-28 13:00:00,Tuesday
Line L,151,2023-03-28 13:00:00,Tuesday
Line M,310,2023-03-28 13:00:00,Tuesday
Line O,1112,2023-03-28 13:00:00,Tuesday
Line P,759,2023-03-28 13:00:00,Tuesday
Line T,2804,2023-03-28 13:00:00,Tuesday
Line 1,5493,2023-03-29 13:00:00,Wednesday
Line 2,1143,2023-03-29 13:00:00,Wednesday
Line A,28936,2023-03-29 13:00:00,Wednesday
Line B,4756,2023-03-29 13:00:00,Wednesday
Line H,71,2023-03-29 13:00:00,Wednesday
Line J,694,2023-03-29 13:00:00,Wednesday
Line K,1044,2023-03-29 13:00:00,Wednesday
Line L,129,2023-03-29 13:00:00,Wednesday
Line M,333,2023-03-29 13:00:00,Wednesday
Line O,1123,2023-03-29 13:00:00,Wednesday
Line P,773,2023-03-29 13:00:00,Wednesday
Line T,2892,2023-03-29 13:00:00,Wednesday
Line 1,5336,2023-03-30 13:00:00,Thursday
Line 2,1110,2023-03-30 13:00:00,Thursday
Line A,28494,2023-03-30 13:00:00,Thursday
Line B,4539,2023-03-30 13:00:00,Thursday
Line H,81,2023-03-30 13:00:00,Thursday
Line J,618,2023-03-30 13:00:00,Thursday
Line K,1153,2023-03-30 13:00:00,Thursday
Line L,147,2023-03-30 13:00:00,Thursday
Line M,326,2023-03-30 13:00:00,Thursday
Line O,1137,2023-03-30 13:00:00,Thursday
Line P,773,2023-03-30 13:00:00,Thursday
Line T,2805,2023-03-30 13:00:00,Thursday
Line 1,5455,2023-03-31 13:00:00,Friday
Line 2,1200,2023-03-31 13:00:00,Friday
Line A,30347,2023-03-31 13:00:00,Friday
Line B,4663,2023-03-31 13:00:00,Friday
Line H,94,2023-03-31 13:00:00,Friday
Line J,754,2023-03-31 13:00:00,Friday
Line K,1121,2023-03-31 13:00:00,Friday
Line L,145,2023-03-31 13:00:00,Friday
Line M,330,2023-03-31 13:00:00,Friday
Line O,998,2023-03-31 13:00:00,Friday
Line P,812,2023-03-31 13:00:00,Friday
Line T,2812,2023-03-31 13:00:00,Friday
Line 1,6606,2023-04-01 13:00:00,Saturday
Line 2,1399,2023-04-01 13:00:00,Saturday
Line A,43786,2023-04-01 13:00:00,Saturday
Line B,6198,2023-04-01 13:00:00,Saturday
Line H,136,2023-04-01 13:00:00,Saturday
Line J,821,2023-04-01 13:00:00,Saturday
Line K,1300,2023-04-01 13:00:00,Saturday
Line L,189,2023-04-01 13:00:00,Saturday
Line M,570,2023-04-01 13:00:00,Saturday
Line O,729,2023-04-01 13:00:00,Saturday
Line P,837,2023-04-01 13:00:00,Saturday
Line T,3547,2023-04-01 13:00:00,Saturday
Line 1,2831,2023-04-02 13:00:00,Sunday
Line 2,628,2023-04-02 13:00:00,Sunday
Line A,17237,2023-04-02 13:00:00,Sunday
Line B,3185,2023-04-02 13:00:00,Sunday
Line H,48,2023-04-02 13:00:00,Sunday
Line J,658,2023-04-02 13:00:00,Sunday
Line K,1237,2023-04-02 13:00:00,Sunday
Line L,506,2023-04-02 13:00:00,Sunday
Line M,416,2023-04-02 13:00:00,Sunday
Line O,330,2023-04-02 13:00:00,Sunday
Line P,663,2023-04-02 13:00:00,Sunday
Line T,1825,2023-04-02 13:00:00,Sunday
Line 1,4450,2023-04-03 13:00:00,Monday
Line 2,1132,2023-04-03 13:00:00,Monday
Line A,25376,2023-04-03 13:00:00,Monday
Line B,4029,2023-04-03 13:00:00,Monday
Line H,85,2023-04-03 13:00:00,Monday
Line J,718,2023-04-03 13:00:00,Monday
Line K,1049,2023-04-03 13:00:00,Monday
Line L,190,2023-04-03 13:00:00,Monday
Line M,298,2023-04-03 13:00:00,Monday
Line O,493,2023-04-03 13:00:00,Monday
Line P,647,2023-04-03 13:00:00,Monday
Line T,2120,2023-04-03 13:00:00,Monday
Line 1,4377,2023-04-04 13:00:00,Tuesday
Line 2,1011,2023-04-04 13:00:00,Tuesday
Line A,26013,2023-04-04 13:00:00,Tuesday
Line B,4023,2023-04-04 13:00:00,Tuesday
Line H,89,2023-04-04 13:00:00,Tuesday
Line J,700,2023-04-04 13:00:00,Tuesday
Line K,1084,2023-04-04 13:00:00,Tuesday
Line L,362,2023-04-04 13:00:00,Tuesday
Line M,342,2023-04-04 13:00:00,Tuesday
Line O,557,2023-04-04 13:00:00,Tuesday
Line P,602,2023-04-04 13:00:00,Tuesday
Line T,2034,2023-04-04 13:00:00,Tuesday
Line 1,4860,2023-04-05 13:00:00,Wednesday
Line 2,1181,2023-04-05 13:00:00,Wednesday
Line A,29725,2023-04-05 13:00:00,Wednesday
Line B,4494,2023-04-05 13:00:00,Wednesday
Line H,108,2023-04-05 13:00:00,Wednesday
Line J,724,2023-04-05 13:00:00,Wednesday
Line K,1243,2023-04-05 13:00:00,Wednesday
Line L,397,2023-04-05 13:00:00,Wednesday
Line M,343,2023-04-05 13:00:00,Wednesday
Line O,555,2023-04-05 13:00:00,Wednesday
Line P,707,2023-04-05 13:00:00,Wednesday
Line T,2373,2023-04-05 13:00:00,Wednesday
Line 1,2294,2023-04-06 13:00:00,Thursday
Line 2,345,2023-04-06 13:00:00,Thursday
Line A,13979,2023-04-06 13:00:00,Thursday
Line B,2651,2023-04-06 13:00:00,Thursday
Line H,117,2023-04-06 13:00:00,Thursday
Line J,560,2023-04-06 13:00:00,Thursday
Line K,1182,2023-04-06 13:00:00,Thursday
Line L,656,2023-04-06 13:00:00,Thursday
Line M,332,2023-04-06 13:00:00,Thursday
Line O,302,2023-04-06 13:00:00,Thursday
Line P,585,2023-04-06 13:00:00,Thursday
Line T,1514,2023-04-06 13:00:00,Thursday
Line 1,1826,2023-04-07 13:00:00,Friday
Line 2,272,2023-04-07 13:00:00,Friday
Line A,11395,2023-04-07 13:00:00,Friday
Line B,2404,2023-04-07 13:00:00,Friday
Line H,55,2023-04-07 13:00:00,Friday
Line J,576,2023-04-07 13:00:00,Friday
Line K,1140,2023-04-07 13:00:00,Friday
Line L,797,2023-04-07 13:00:00,Friday
Line M,261,2023-04-07 13:00:00,Friday
Line O,216,2023-04-07 13:00:00,Friday
Line P,573,2023-04-07 13:00:00,Friday
Line T,1180,2023-04-07 13:00:00,Friday
Line 1,3555,2023-04-08 13:00:00,Saturday
Line 2,745,2023-04-08 13:00:00,Saturday
Line A,21679,2023-04-08 13:00:00,Saturday
Line B,3432,2023-04-08 13:00:00,Saturday
Line H,112,2023-04-08 13:00:00,Saturday
Line J,745,2023-04-08 13:00:00,Saturday
Line K,1252,2023-04-08 13:00:00,Saturday
Line L,558,2023-04-08 13:00:00,Saturday
Line M,483,2023-04-08 13:00:00,Saturday
Line O,451,2023-04-08 13:00:00,Saturday
Line P,671,2023-04-08 13:00:00,Saturday
Line T,1927,2023-04-08 13:00:00,Saturday
Line 1,2370,2023-04-09 13:00:00,Sunday
Line 2,469,2023-04-09 13:00:00,Sunday
Line A,14004,2023-04-09 13:00:00,Sunday
Line B,2393,2023-04-09 13:00:00,Sunday
Line H,56,2023-04-09 13:00:00,Sunday
Line J,651,2023-04-09 13:00:00,Sunday
Line K,1008,2023-04-09 13:00:00,Sunday
Line L,471,2023-04-09 13:00:00,Sunday
Line M,325,2023-04-09 13:00:00,Sunday
Line O,261,2023-04-09 13:00:00,Sunday
Line P,591,2023-04-09 13:00:00,Sunday
Line T,1524,2023-04-09 13:00:00,Sunday
Line 1,5287,2023-04-10 13:00:00,Monday
Line 2,1107,2023-04-10 13:00:00,Monday
Line A,28622,2023-04-10 13:00:00,Monday
Line B,4353,2023-04-10 13:00:00,Monday
Line H,74,2023-04-10 13:00:00,Monday
Line J,701,2023-04-10 13:00:00,Monday
Line K,1033,2023-04-10 13:00:00,Monday
Line M,306,2023-04-10 13:00:00,Monday
Line O,874,2023-04-10 13:00:00,Monday
Line P,730,2023-04-10 13:00:00,Monday
Line T,2658,2023-04-10 13:00:00,Monday
Line 1,5412,2023-04-11 13:00:00,Tuesday
Line 2,1163,2023-04-11 13:00:00,Tuesday
Line A,29768,2023-04-11 13:00:00,Tuesday
Line B,4568,2023-04-11 13:00:00,Tuesday
Line H,92,2023-04-11 13:00:00,Tuesday
Line J,632,2023-04-11 13:00:00,Tuesday
Line K,1080,2023-04-11 13:00:00,Tuesday
Line L,105,2023-04-11 13:00:00,Tuesday
Line M,332,2023-04-11 13:00:00,Tuesday
Line O,1114,2023-04-11 13:00:00,Tuesday
Line P,771,2023-04-11 13:00:00,Tuesday
Line T,2949,2023-04-11 13:00:00,Tuesday
Line 1,5446,2023-04-12 13:00:00,Wednesday
Line 2,1059,2023-04-12 13:00:00,Wednesday
Line A,28731,2023-04-12 13:00:00,Wednesday
Line B,4633,2023-04-12 13:00:00,Wednesday
Line H,74,2023-04-12 13:00:00,Wednesday
Line J,686,2023-04-12 13:00:00,Wednesday
Line K,1041,2023-04-12 13:00:00,Wednesday
Line L,125,2023-04-12 13:00:00,Wednesday
Line M,316,2023-04-12 13:00:00,Wednesday
Line O,1064,2023-04-12 13:00:00,Wednesday
Line P,730,2023-04-12 13:00:00,Wednesday
Line T,2704,2023-04-12 13:00:00,Wednesday
Line 1,5251,2023-04-13 13:00:00,Thursday
Line 2,976,2023-04-13 13:00:00,Thursday
Line A,28334,2023-04-13 13:00:00,Thursday
Line B,4479,2023-04-13 13:00:00,Thursday
Line H,86,2023-04-13 13:00:00,Thursday
Line J,642,2023-04-13 13:00:00,Thursday
Line K,1008,2023-04-13 13:00:00,Thursday
Line L,130,2023-04-13 13:00:00,Thursday
Line M,290,2023-04-13 13:00:00,Thursday
Line O,1016,2023-04-13 13:00:00,Thursday
Line P,663,2023-04-13 13:00:00,Thursday
Line T,2668,2023-04-13 13:00:00,Thursday
Line 1,5422,2023-04-14 13:00:00,Friday
Line 2,1041,2023-04-14 13:00:00,Friday
Line A,29955,2023-04-14 13:00:00,Friday
Line B,4536,2023-04-14 13:00:00,Friday
Line H,94,2023-04-14 13:00:00,Friday
Line J,709,2023-04-14 13:00:00,Friday
Line K,1145,2023-04-14 13:00:00,Friday
Line L,119,2023-04-14 13:00:00,Friday
Line M,307,2023-04-14 13:00:00,Friday
Line O,1015,2023-04-14 13:00:00,Friday
Line P,757,2023-04-14 13:00:00,Friday
Line T,2606,2023-04-14 13:00:00,Friday
Line 1,6657,2023-04-15 13:00:00,Saturday
Line 2,1355,2023-04-15 13:00:00,Saturday
Line A,43979,2023-04-15 13:00:00,Saturday
Line B,6427,2023-04-15 13:00:00,Saturday
Line H,112,2023-04-15 13:00:00,Saturday
Line J,843,2023-04-15 13:00:00,Saturday
Line K,1261,2023-04-15 13:00:00,Saturday
Line L,245,2023-04-15 13:00:00,Saturday
Line M,600,2023-04-15 13:00:00,Saturday
Line O,901,2023-04-15 13:00:00,Saturday
Line P,837,2023-04-15 13:00:00,Saturday
Line T,3732,2023-04-15 13:00:00,Saturday
Line 1,3152,2023-04-16 13:00:00,Sunday
Line 2,602,2023-04-16 13:00:00,Sunday
Line A,17938,2023-04-16 13:00:00,Sunday
Line B,3124,2023-04-16 13:00:00,Sunday
Line H,74,2023-04-16 13:00:00,Sunday
Line J,741,2023-04-16 13:00:00,Sunday
Line K,1244,2023-04-16 13:00:00,Sunday
Line L,457,2023-04-16 13:00:00,Sunday
Line M,422,2023-04-16 13:00:00,Sunday
Line O,322,2023-04-16 13:00:00,Sunday
Line P,655,2023-04-16 13:00:00,Sunday
Line T,1856,2023-04-16 13:00:00,Sunday
Line 1,5221,2023-04-17 13:00:00,Monday
Line 2,1059,2023-04-17 13:00:00,Monday
Line A,29581,2023-04-17 13:00:00,Monday
Line B,4253,2023-04-17 13:00:00,Monday
Line H,82,2023-04-17 13:00:00,Monday
Line J,754,2023-04-17 13:00:00,Monday
Line K,1073,2023-04-17 13:00:00,Monday
Line M,343,2023-04-17 13:00:00,Monday
Line O,898,2023-04-17 13:00:00,Monday
Line P,801,2023-04-17 13:00:00,Monday
Line T,2611,2023-04-17 13:00:00,Monday
Line 1,5735,2023-04-18 13:00:00,Tuesday
Line 2,1087,2023-04-18 13:00:00,Tuesday
Line A,30069,2023-04-18 13:00:00,Tuesday
Line B,4703,2023-04-18 13:00:00,Tuesday
Line H,75,2023-04-18 13:00:00,Tuesday
Line J,783,2023-04-18 13:00:00,Tuesday
Line K,1105,2023-04-18 13:00:00,Tuesday
Line L,135,2023-04-18 13:00:00,Tuesday
Line M,304,2023-04-18 13:00:00,Tuesday
Line O,429,2023-04-18 13:00:00,Tuesday
Line P,788,2023-04-18 13:00:00,Tuesday
Line T,2967,2023-04-18 13:00:00,Tuesday
Line 1,5324,2023-04-19 13:00:00,Wednesday
Line 2,1059,2023-04-19 13:00:00,Wednesday
Line A,28253,2023-04-19 13:00:00,Wednesday
Line B,4630,2023-04-19 13:00:00,Wednesday
Line H,68,2023-04-19 13:00:00,Wednesday
Line J,687,2023-04-19 13:00:00,Wednesday
Line K,1109,2023-04-19 13:00:00,Wednesday
Line L,69,2023-04-19 13:00:00,Wednesday
Line M,308,2023-04-19 13:00:00,Wednesday
Line O,1081,2023-04-19 13:00:00,Wednesday
Line P,754,2023-04-19 13:00:00,Wednesday
Line T,2656,2023-04-19 13:00:00,Wednesday
Line 1,5288,2023-04-20 13:00:00,Thursday
Line 2,1126,2023-04-20 13:00:00,Thursday
Line A,28799,2023-04-20 13:00:00,Thursday
Line B,4694,2023-04-20 13:00:00,Thursday
Line H,91,2023-04-20 13:00:00,Thursday
Line J,670,2023-04-20 13:00:00,Thursday
Line K,1071,2023-04-20 13:00:00,Thursday
Line L,121,2023-04-20 13:00:00,Thursday
Line M,283,2023-04-20 13:00:00,Thursday
Line O,1057,2023-04-20 13:00:00,Thursday
Line P,840,2023-04-20 13:00:00,Thursday
Line T,2718,2023-04-20 13:00:00,Thursday
Line 1,5387,2023-04-21 13:00:00,Friday
Line 2,1078,2023-04-21 13:00:00,Friday
Line A,30323,2023-04-21 13:00:00,Friday
Line B,4710,2023-04-21 13:00:00,Friday
Line H,83,2023-04-21 13:00:00,Friday
Line J,696,2023-04-21 13:00:00,Friday
Line K,1159,2023-04-21 13:00:00,Friday
Line L,165,2023-04-21 13:00:00,Friday
Line M,334,2023-04-21 13:00:00,Friday
Line O,1073,2023-04-21 13:00:00,Friday
Line P,870,2023-04-21 13:00:00,Friday
Line T,2743,2023-04-21 13:00:00,Friday
Line 1,6755,2023-04-22 13:00:00,Saturday
Line 2,1359,2023-04-22 13:00:00,Saturday
Line A,44774,2023-04-22 13:00:00,Saturday
Line B,6443,2023-04-22 13:00:00,Saturday
Line H,106,2023-04-22 13:00:00,Saturday
Line J,765,2023-04-22 13:00:00,Saturday
Line K,1164,2023-04-22 13:00:00,Saturday
Line L,254,2023-04-22 13:00:00,Saturday
Line M,604,2023-04-22 13:00:00,Saturday
Line O,928,2023-04-22 13:00:00,Saturday
Line P,853,2023-04-22 13:00:00,Saturday
Line T,3754,2023-04-22 13:00:00,Saturday
Line 1,2943,2023-04-23 13:00:00,Sunday
Line 2,590,2023-04-23 13:00:00,Sunday
Line A,16973,2023-04-23 13:00:00,Sunday
Line B,3116,2023-04-23 13:00:00,Sunday
Line H,74,2023-04-23 13:00:00,Sunday
Line J,646,2023-04-23 13:00:00,Sunday
Line K,1160,2023-04-23 13:00:00,Sunday
Line L,376,2023-04-23 13:00:00,Sunday
Line M,376,2023-04-23 13:00:00,Sunday
Line O,374,2023-04-23 13:00:00,Sunday
Line P,777,2023-04-23 13:00:00,Sunday
Line T,1836,2023-04-23 13:00:00,Sunday
Line 1,5229,2023-04-24 13:00:00,Monday
Line 2,1111,2023-04-24 13:00:00,Monday
Line A,28504,2023-04-24 13:00:00,Monday
Line B,4449,2023-04-24 13:00:00,Monday
Line H,90,2023-04-24 13:00:00,Monday
Line J,623,2023-04-24 13:00:00,Monday
Line K,1058,2023-04-24 13:00:00,Monday
Line M,307,2023-04-24 13:00:00,Monday
Line O,929,2023-04-24 13:00:00,Monday
Line P,811,2023-04-24 13:00:00,Monday
Line T,2557,2023-04-24 13:00:00,Monday
Line 1,5549,2023-04-25 13:00:00,Tuesday
Line 2,1181,2023-04-25 13:00:00,Tuesday
Line A,29932,2023-04-25 13:00:00,Tuesday
Line B,4610,2023-04-25 13:00:00,Tuesday
Line H,85,2023-04-25 13:00:00,Tuesday
Line J,684,2023-04-25 13:00:00,Tuesday
Line K,1131,2023-04-25 13:00:00,Tuesday
Line L,143,2023-04-25 13:00:00,Tuesday
Line M,331,2023-04-25 13:00:00,Tuesday
Line O,1176,2023-04-25 13:00:00,Tuesday
Line P,792,2023-04-25 13:00:00,Tuesday
Line T,2748,2023-04-25 13:00:00,Tuesday
Line 1,5372,2023-04-26 13:00:00,Wednesday
Line 2,1081,2023-04-26 13:00:00,Wednesday
Line A,29385,2023-04-26 13:00:00,Wednesday
Line B,4612,2023-04-26 13:00:00,Wednesday
Line H,63,2023-04-26 13:00:00,Wednesday
Line J,665,2023-04-26 13:00:00,Wednesday
Line K,1096,2023-04-26 13:00:00,Wednesday
Line L,104,2023-04-26 13:00:00,Wednesday
Line M,313,2023-04-26 13:00:00,Wednesday
Line O,1118,2023-04-26 13:00:00,Wednesday
Line P,760,2023-04-26 13:00:00,Wednesday
Line T,2760,2023-04-26 13:00:00,Wednesday
Line 1,5350,2023-04-27 13:00:00,Thursday
Line 2,1061,2023-04-27 13:00:00,Thursday
Line A,28436,2023-04-27 13:00:00,Thursday
Line B,4363,2023-04-27 13:00:00,Thursday
Line H,72,2023-04-27 13:00:00,Thursday
Line J,642,2023-04-27 13:00:00,Thursday
Line K,1126,2023-04-27 13:00:00,Thursday
Line L,117,2023-04-27 13:00:00,Thursday
Line M,308,2023-04-27 13:00:00,Thursday
Line O,980,2023-04-27 13:00:00,Thursday
Line P,816,2023-04-27 13:00:00,Thursday
Line T,2829,2023-04-27 13:00:00,Thursday
Line 1,4707,2023-04-28 13:00:00,Friday
Line 2,1099,2023-04-28 13:00:00,Friday
Line A,30914,2023-04-28 13:00:00,Friday
Line B,4632,2023-04-28 13:00:00,Friday
Line H,80,2023-04-28 13:00:00,Friday
Line J,737,2023-04-28 13:00:00,Friday
Line K,1081,2023-04-28 13:00:00,Friday
Line L,103,2023-04-28 13:00:00,Friday
Line M,319,2023-04-28 13:00:00,Friday
Line O,869,2023-04-28 13:00:00,Friday
Line P,924,2023-04-28 13:00:00,Friday
Line T,2583,2023-04-28 13:00:00,Friday
Line 1,6583,2023-04-29 13:00:00,Saturday
Line 2,1433,2023-04-29 13:00:00,Saturday
Line A,44494,2023-04-29 13:00:00,Saturday
Line B,6569,2023-04-29 13:00:00,Saturday
Line H,106,2023-04-29 13:00:00,Saturday
Line J,843,2023-04-29 13:00:00,Saturday
Line K,1386,2023-04-29 13:00:00,Saturday
Line L,164,2023-04-29 13:00:00,Saturday
Line M,545,2023-04-29 13:00:00,Saturday
Line O,730,2023-04-29 13:00:00,Saturday
Line P,862,2023-04-29 13:00:00,Saturday
Line T,3529,2023-04-29 13:00:00,Saturday
Line 1,3085,2023-04-30 13:00:00,Sunday
Line 2,653,2023-04-30 13:00:00,Sunday
Line A,18281,2023-04-30 13:00:00,Sunday
Line B,3366,2023-04-30 13:00:00,Sunday
Line H,93,2023-04-30 13:00:00,Sunday
Line J,807,2023-04-30 13:00:00,Sunday
Line K,1328,2023-04-30 13:00:00,Sunday
Line L,526,2023-04-30 13:00:00,Sunday
Line M,361,2023-04-30 13:00:00,Sunday
Line O,412,2023-04-30 13:00:00,Sunday
Line P,754,2023-04-30 13:00:00,Sunday
Line T,1851,2023-04-30 13:00:00,Sunday
Line 1,2593,2023-05-01 13:00:00,Monday
Line 2,344,2023-05-01 13:00:00,Monday
Line A,15485,2023-05-01 13:00:00,Monday
Line B,2497,2023-05-01 13:00:00,Monday
Line H,79,2023-05-01 13:00:00,Monday
Line J,642,2023-05-01 13:00:00,Monday
Line K,1106,2023-05-01 13:00:00,Monday
Line L,439,2023-05-01 13:00:00,Monday
Line M,330,2023-05-01 13:00:00,Monday
Line O,341,2023-05-01 13:00:00,Monday
Line P,732,2023-05-01 13:00:00,Monday
Line T,1482,2023-05-01 13:00:00,Monday
Line 1,5764,2023-05-02 13:00:00,Tuesday
Line 2,1228,2023-05-02 13:00:00,Tuesday
Line A,30210,2023-05-02 13:00:00,Tuesday
Line B,4566,2023-05-02 13:00:00,Tuesday
Line H,97,2023-05-02 13:00:00,Tuesday
Line J,708,2023-05-02 13:00:00,Tuesday
Line K,1134,2023-05-02 13:00:00,Tuesday
Line M,315,2023-05-02 13:00:00,Tuesday
Line O,993,2023-05-02 13:00:00,Tuesday
Line P,866,2023-05-02 13:00:00,Tuesday
Line T,2847,2023-05-02 13:00:00,Tuesday
Line 1,5469,2023-05-03 13:00:00,Wednesday
Line 2,1111,2023-05-03 13:00:00,Wednesday
Line A,29537,2023-05-03 13:00:00,Wednesday
Line B,4588,2023-05-03 13:00:00,Wednesday
Line H,93,2023-05-03 13:00:00,Wednesday
Line J,679,2023-05-03 13:00:00,Wednesday
Line K,1019,2023-05-03 13:00:00,Wednesday
Line L,85,2023-05-03 13:00:00,Wednesday
Line M,304,2023-05-03 13:00:00,Wednesday
Line O,1096,2023-05-03 13:00:00,Wednesday
Line P,806,2023-05-03 13:00:00,Wednesday
Line T,2775,2023-05-03 13:00:00,Wednesday
Line 1,5226,2023-05-04 13:00:00,Thursday
Line 2,1119,2023-05-04 13:00:00,Thursday
Line A,29327,2023-05-04 13:00:00,Thursday
Line B,4454,2023-05-04 13:00:00,Thursday
Line H,89,2023-05-04 13:00:00,Thursday
Line J,605,2023-05-04 13:00:00,Thursday
Line K,974,2023-05-04 13:00:00,Thursday
Line L,165,2023-05-04 13:00:00,Thursday
Line M,316,2023-05-04 13:00:00,Thursday
Line O,1014,2023-05-04 13:00:00,Thursday
Line P,873,2023-05-04 13:00:00,Thursday
Line T,2619,2023-05-04 13:00:00,Thursday
Line 1,5547,2023-05-05 13:00:00,Friday
Line 2,1141,2023-05-05 13:00:00,Friday
Line A,30272,2023-05-05 13:00:00,Friday
Line B,4749,2023-05-05 13:00:00,Friday
Line H,82,2023-05-05 13:00:00,Friday
Line J,732,2023-05-05 13:00:00,Friday
Line K,1150,2023-05-05 13:00:00,Friday
Line L,124,2023-05-05 13:00:00,Friday
Line M,355,2023-05-05 13:00:00,Friday
Line O,1021,2023-05-05 13:00:00,Friday
Line P,799,2023-05-05 13:00:00,Friday
Line T,2705,2023-05-05 13:00:00,Friday
Line 1,6932,2023-05-06 13:00:00,Saturday
Line 2,1114,2023-05-06 13:00:00,Saturday
Line A,45150,2023-05-06 13:00:00,Saturday
Line B,6500,2023-05-06 13:00:00,Saturday
Line H,108,2023-05-06 13:00:00,Saturday
Line J,807,2023-05-06 13:00:00,Saturday
Line K,1214,2023-05-06 13:00:00,Saturday
Line L,258,2023-05-06 13:00:00,Saturday
Line M,609,2023-05-06 13:00:00,Saturday
Line O,875,2023-05-06 13:00:00,Saturday
Line P,931,2023-05-06 13:00:00,Saturday
Line T,3638,2023-05-06 13:00:00,Saturday
Line 1,2972,2023-05-07 13:00:00,Sunday
Line 2,564,2023-05-07 13:00:00,Sunday
Line A,17042,2023-05-07 13:00:00,Sunday
Line B,3073,2023-05-07 13:00:00,Sunday
Line H,83,2023-05-07 13:00:00,Sunday
Line J,680,2023-05-07 13:00:00,Sunday
Line K,1177,2023-05-07 13:00:00,Sunday
Line L,445,2023-05-07 13:00:00,Sunday
Line M,348,2023-05-07 13:00:00,Sunday
Line O,366,2023-05-07 13:00:00,Sunday
Line P,667,2023-05-07 13:00:00,Sunday
Line T,1778,2023-05-07 13:00:00,Sunday
Line 1,5370,2023-05-08 13:00:00,Monday
Line 2,1106,2023-05-08 13:00:00,Monday
Line A,27936,2023-05-08 13:00:00,Monday
Line B,4300,2023-05-08 13:00:00,Monday
Line H,55,2023-05-08 13:00:00,Monday
Line J,668,2023-05-08 13:00:00,Monday
Line K,958,2023-05-08 13:00:00,Monday
Line M,348,2023-05-08 13:00:00,Monday
Line O,832,2023-05-08 13:00:00,Monday
Line P,787,2023-05-08 13:00:00,Monday
Line T,2621,2023-05-08 13:00:00,Monday
Line 1,5281,2023-05-09 13:00:00,Tuesday
Line 2,1125,2023-05-09 13:00:00,Tuesday
Line A,29050,2023-05-09 13:00:00,Tuesday
Line B,4354,2023-05-09 13:00:00,Tuesday
Line H,70,2023-05-09 13:00:00,Tuesday
Line J,611,2023-05-09 13:00:00,Tuesday
Line K,1013,2023-05-09 13:00:00,Tuesday
Line L,101,2023-05-09 13:00:00,Tuesday
Line M,306,2023-05-09 13:00:00,Tuesday
Line O,1018,2023-05-09 13:00:00,Tuesday
Line P,729,2023-05-09 13:00:00,Tuesday
Line T,2752,2023-05-09 13:00:00,Tuesday
Line 1,5458,2023-05-10 13:00:00,Wednesday
Line 2,1104,2023-05-10 13:00:00,Wednesday
Line A,28914,2023-05-10 13:00:00,Wednesday
Line B,4753,2023-05-10 13:00:00,Wednesday
Line H,91,2023-05-10 13:00:00,Wednesday
Line J,667,2023-05-10 13:00:00,Wednesday
Line K,1071,2023-05-10 13:00:00,Wednesday
Line L,76,2023-05-10 13:00:00,Wednesday
Line M,309,2023-05-10 13:00:00,Wednesday
Line O,1059,2023-05-10 13:00:00,Wednesday
Line P,750,2023-05-10 13:00:00,Wednesday
Line T,2698,2023-05-10 13:00:00,Wednesday
Line 1,5285,2023-05-11 13:00:00,Thursday
Line 2,1086,2023-05-11 13:00:00,Thursday
Line A,28323,2023-05-11 13:00:00,Thursday
Line B,4314,2023-05-11 13:00:00,Thursday
Line H,83,2023-05-11 13:00:00,Thursday
Line J,604,2023-05-11 13:00:00,Thursday
Line K,1013,2023-05-11 13:00:00,Thursday
Line L,80,2023-05-11 13:00:00,Thursday
Line M,310,2023-05-11 13:00:00,Thursday
Line O,982,2023-05-11 13:00:00,Thursday
Line P,813,2023-05-11 13:00:00,Thursday
Line T,2734,2023-05-11 13:00:00,Thursday
Line 1,5351,2023-05-12 13:00:00,Friday
Line 2,1063,2023-05-12 13:00:00,Friday
Line A,29924,2023-05-12 13:00:00,Friday
Line B,4631,2023-05-12 13:00:00,Friday
Line H,89,2023-05-12 13:00:00,Friday
Line J,689,2023-05-12 13:00:00,Friday
Line K,1109,2023-05-12 13:00:00,Friday
